author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score
Srabanti Chowdhury,0000-0001-8367-0461,Stanford University,academic,US,Performance Enhancement of GaN Super-Lattice Castellated Field-Effect Transistors (SLCFETs) via Topside Integration of Near-Isotropic Polycrystalline Diamond,2025,https://doi.org/10.1109/led.2025.3602825,IEEE Electron Device Letters,last,diamond heat spreader,6,0,60
Husam Walwil,0009-0008-1170-6638,Pennsylvania State University,academic,US,High thermal boundary conductance across a GaN/SiC interface characterized via signal-ratio-based dual-frequency time-domain thermoreflectance,2026,https://doi.org/10.1063/5.0303711,Journal of Applied Physics,first,thermal boundary resistance GaN,5,0,60
Daniel Shoemaker,0000-0001-6637-9066,Pennsylvania State University,academic,US,Enhanced Cooling of Multifinger GaN HEMTs via Topside Diamond Integration,2025,https://doi.org/10.1109/led.2025.3588202,IEEE Electron Device Letters,first,diamond heat spreader,5,0,60
Jiaqi Zhu,0000-0002-2142-7260,Ministry of Education of the People's Republic of China,academic,CN,Modeling optimization and experimental verification of inch-scale heteroepitaxial single-crystal diamond nucleation with 915 MHz MPCVD,2026,https://doi.org/10.1016/j.vacuum.2026.115618,Vacuum,last,single crystal diamond MPCVD,4,0,60
Sukwon Choi,0000-0002-3664-1542,Pennsylvania State University,academic,US,Enhanced Cooling of Multifinger GaN HEMTs via Topside Diamond Integration,2025,https://doi.org/10.1109/led.2025.3588202,IEEE Electron Device Letters,last,diamond heat spreader,4,0,60
Phani Suresh Paladugu,,Synopsys (United States),industry,US,HBM4 Integration In AI/HPC Chiplet Architectures: Co-Design And Telemetry-Driven Optimization,2026,https://doi.org/10.5281/zenodo.18816182,Journal of International Crisis and Risk Communication Research,first,chiplet package thermal,3,1,52
Jianbo Liang,0000-0001-5320-6377,Osaka Prefecture University,academic,JP,Direct Integration of Polycrystalline Diamond With 3C‐SiC for Enhanced Thermal Management in GaN HEMTs: Impact of Grain Structure and Interface Engineering,2025,https://doi.org/10.1002/admt.202500437,Advanced Materials Technologies,last,GaN diamond thermal,3,0,52
Zhe Cheng,0000-0001-7827-2979,University of Illinois Urbana-Champaign,academic,US,Interfacial Reaction Boosts Thermal Conductance of Room‐Temperature Integrated Semiconductor Interfaces Stable up to 1100 °C,2024,https://doi.org/10.1002/aelm.202400387,Advanced Electronic Materials,last,diamond thermal conductivity substrate,3,0,44
Bo Shen,0000-0002-0825-8001,Peking University,academic,CN,Interfacial Engineering toward Ultralow Thermal Boundary Resistance at Metal–Semiconductor Contacts,2026,https://doi.org/10.1021/acs.nanolett.5c05501,Nano Letters,last,thermal boundary resistance GaN,2,0,44
Chufei Cheng,,Harbin Institute of Technology,academic,CN,High-temperature stable growth of thick polycrystalline diamond film on GaN enabled by a SiNx/Si double interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113769,Diamond and Related Materials,first,diamond heat spreader,2,0,44
"Quni-Gudzinas, Rowan Brad",0009-0002-4317-5604,Q-Flex (United States),industry,US,CRYOGENICALLY STABILIZED SYNTHETIC LATTICE ARCHITECTURE FOR FAULT-TOLERANT QUANTUM COMPUTING,2026,https://doi.org/10.5281/zenodo.17709213,Zenodo (CERN European Organization for Nuclear Research),first,diamond heat spreader,2,1,44
Ziling Cai,0009-0007-7945-998X,Fudan University,academic,CN,Interfacial Engineering toward Ultralow Thermal Boundary Resistance at Metal–Semiconductor Contacts,2026,https://doi.org/10.1021/acs.nanolett.5c05501,Nano Letters,first,thermal boundary resistance GaN,2,0,44
